city,county,zipcode,overall_risk,overall_points,county_voter_reg,county_voter_turnout,county_prop_mail_vote,county_n_precincts,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_college_2008_12,county_unemployment,county_per_cap_gdp,county_pop,county_per_cap_income,county_per_cap_1099_income,county_n_jobs,county_avg_wage,county_med_age,county_prop_m,county_per_cap_precints,good_pension_health,is_county_job_center
San Jacinto,Riverside,92583,Low,81.81,0.6519685051631071,0.5115,0.4153,1403,0.47,0.17,3.39,0.14,0.2,0.73,0.02,0.04,NA,NA,9370888,2767479,6517241,39438829,-0.12,8864836,18706868,11662706,11286543,8864836,14434517,15968189,18679610,7061261,878726,31053381,42507442,738923,1476886.74,NA,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
San Joaquin,Fresno,93660,Moderate,53.71,0.714652135684724,0.5144,0.4532,712,-0.02,0.2,0,-0.03,0.29,0.77,0.02,0.05,NA,NA,0,53496,658115,3333133,-0.09,-10758,656313,-62098,-130295,-10758,797932,705234,754799,973317,0,3199154,4158483,75592,170081.09,NA,0.19399999999999998,0.106,37.123290788562386,909630,30549,4517,441468,37825,30.6,0.49955505400612604,7.827358376482745e-4,FALSE,FALSE
San Jose,Santa Clara,95113,Moderate,44.54,0.7060058122206997,0.6068,0.5729,1142,0.28,1.15,3.45,0.06,1.44,0.62,0.14,NA,0.48,0.28,298587000,86574000,2546898000,2215048000,-0.04,291812000,1048202000,317588000,311972000,291812000,871668000,901068000,978796000,3192356000,0,5270364733,8462635377,314666000,NA,1071265000,0.46,0.06,91.79353048081408,1740964,61220,12764,1164619,81944,36.2,0.5017006783629933,6.559584230345947e-4,FALSE,TRUE
San Juan Bautista,San Benito,95045,Low,88.67,0.7385668511505972,0.5821000000000001,0.433,59,1.77,1.56,9.34,0.3,NA,NA,NA,NA,NA,NA,3207006,343287,11427086,7347641,0.35,3051788,1720933,1694106,2198843,3051788,1377042,1774821,2315590,NA,NA,NA,NA,NA,NA,NA,0.184,0.09699999999999999,32.161147658798164,54267,36836,5787,21766,38918,34.3,0.4999004867104525,0.0010872169089870456,NA,FALSE
San Juan Capistrano,Orange,92675,Low,73.57,0.8640684252298959,0.6275,0.4654,2109,0.56,0.84,6.79,0.05,0.37,0.72,0.03,NA,0.05,0,16042731,2361947,58668284,70178603,-0.03,16673904,30018430,17715215,18673617,16673904,24878704,26655716,27436521,26138852,0,67047786.1461676,93186638.1461676,2441378,NA,3258856,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
San Leandro,Alameda,94577,Moderate,62.12,0.8130188885559002,0.6364,0.4833,1041,0.38,0.53,3.58,0.03,1.24,0.7,0.09,0.16,0.03,0.76,38645975,10800759,80544067,151810329,0.14,41854591,109378864,32507772,38359267,41854591,106350008,105952936,111589268,176603608,11565556,415301312,590595618,12935765,23939799.98,4591354,0.41100000000000003,0.062,62.71487156852657,1477208,48524,8583,903624,60165,36.6,0.4903576907720535,7.047078001202269e-4,FALSE,TRUE
San Luis Obispo,San Luis Obispo,93401,Moderate,55.38,0.8320743034055728,0.6917,0.5104,152,0.29,0.57,5.62,0.03,1.19,0.63,0.1,0.16,0.06,0.42,22268551,3964937,73035096,127112633,-0.04,25896243,88712280,29080456,23194804,25896243,68084438,67434696,71737084,151273080,0,264330315,418064156,12608611,20469157.97,7523143,0.315,0.057999999999999996,47.20735251053094,266358,39692,9659,154624,39377,39.4,0.5117954880079514,5.706605395745575e-4,FALSE,FALSE
San Marcos,San Diego,92069,Low,72.6,0.7251714669285065,0.6071,0.46,2328,0.52,0.12,9.1,0.02,0.56,0.73,0.06,0.09,0.08,0,105380303,11585064,12233151,105790366,-0.05,39813895,75990603,44168391,38706951,39813895,67863373,66525397,70605896,59258541,0,155336844,213609786,6678087,9586569.51,8039000,0.344,0.061,59.13658277842412,3022116,44860,9670,1882625,50388,34.6,0.5019456836836856,7.703211921713131e-4,FALSE,TRUE
San Marino,Los Angeles,91108,Moderate,58.19,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.32,0.07,11.75,0.03,1.11,0.75,0.08,0.16,0.19,0,12148777,1033718,2086986,29597259,-0.19,12361315,38980396,21574775,23454629,12361315,26215928,27229011,27879556,29738565,3240566,88444570,118341076,2432915,4694789.31,5683301,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
San Mateo,San Mateo,94403,Moderate,71.12,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.63,0.62,5.84,0.05,0.97,0.67,0.08,0.13,0.07,0.17,80398623,13764430,139051062,224492428,0.13,74138449,117202160,58504042,66958844,74138449,113413278,117366555,124083378,218195634,0,446521875,666250732,18298957,28400836.67,15723000,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
San Pablo,Contra Costa,94806,Low,80.47,0.7539949308861223,0.6535,0.4758,854,1.1,0.89,12.6,0.02,0.81,0.73,0.07,0.13,0.01,0.97,53500780,4247526,43904447,49564463,0.01,52857210,47856894,52031158,55141653,52857210,41286996,39637652,42287722,40126819,0,108949179,149234243,3263150,6563758.12,279824,0.386,0.062,90.00304785096702,1023344,58611,12481,496937,58042,38.5,0.487620409427802,8.345189887271533e-4,FALSE,FALSE
San Rafael,Marin,94901,Moderate,45,0.8589735806570894,0.7798999999999999,0.5870000000000001,189,0.08,0.66,1.62,0.03,1.11,0.86,0.18,NA,0.3,0.35,7628610,4705221,74394715,112584451,-0.21,11214720,139120908,18213487,16195986,11214720,74756150,73365784,78468889,120649687,4185000,757834016,878483703,20167435,NA,33696000,0.546,0.047,67.9644361065709,248398,90003,30928,181971,56427,44.5,0.4915514106073872,7.608756914306878e-4,TRUE,TRUE
San Ramon,Contra Costa,94583,Moderate,59.68,0.7539949308861223,0.6535,0.4758,854,0.13,0.14,0.79,0.03,0.5,0.85,0.05,0.1,0,1.01,4276735,5435395,12409271,88826332,0.07,7241994,55913031,6890959,9399666,7241994,48658127,48046404,51058100,28985447,15860000,160429262,189645523,4005347,8741786.31,NA,0.386,0.062,90.00304785096702,1023344,58611,12481,496937,58042,38.5,0.487620409427802,8.345189887271533e-4,TRUE,FALSE
Sand City,Monterey,93955,Low,86.67,0.6775766701887825,0.562,0.588,184,0.94,0.09,9.03,0.04,0.66,0.78,0.14,0.11,-0.05,1.16,7578396,838789,650392,7419175,-0.05,6598611,6989374,7429163,6061871,6598611,7037964,7146240,7511201,4882751,0,15773933,20106357,1006454,836363.15,NA,0.23199999999999998,0.085,50.36278083453606,406022,40587,9460,223750,42425,32.9,0.5142209383289524,4.53177414031752e-4,FALSE,FALSE
Sanger,Fresno,93657,Moderate,71.13,0.714652135684724,0.5144,0.4532,712,0.43,0.85,6.73,0.09,0.65,0.72,0.06,0.1,NA,NA,3784788,562046,27845820,32834201,0.23,5148217,11950734,3454306,3891901,5148217,11139878,11621087,13133416,21464892,0,54287706,75248734,2087768,3165874.75,NA,0.19399999999999998,0.106,37.123290788562386,909630,30549,4517,441468,37825,30.6,0.49955505400612604,7.827358376482745e-4,FALSE,FALSE
Santa Ana,Orange,92702,Moderate,50.2,0.8640684252298959,0.6275,0.4654,2109,0.25,0.46,6.72,0.02,1.43,0.69,0.1,0.19,0.12,0,62619686,9322507,202132766,440976714,-0.1,61741579,246455193,75472482,72384344,61741579,224561056,229300577,233966024,632762457,0,1396978518,2030144753,45574136,84592085.41,54392541,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Santa Barbara,Santa Barbara,93102,Moderate,53.2,0.7376324610238962,0.637,0.5216,318,0.21,0.7,2.78,0.05,0.96,0.69,0.08,0.13,0.08,0,23887140,8592898,243331128,345324777,-0.04,28274668,137535122,30502217,31773419,28274668,120504586,126287765,133107157,330936334,0,742969041,1071061975,28397773,45375527.81,26142000,0.315,0.055,53.012658136531854,415859,45327,13688,258059,44000,33.6,0.5019780841953786,7.646822600929642e-4,FALSE,TRUE
Santa Clara,Santa Clara,95050,Low,72.58,0.7060058122206997,0.6068,0.5729,1142,0.69,1.12,22.2,0.01,0.52,0.65,0.05,0.08,0.05,0.29,165749986,7467254,1107011378,992274987,-0.05,157187054,228919915,172415616,170622778,157187054,224066277,229640109,229915595,516387277,0,965950578,1490167055,47258730,75037864.86,46571000,0.46,0.06,91.79353048081408,1740964,61220,12764,1164619,81944,36.2,0.5017006783629933,6.559584230345947e-4,FALSE,TRUE
Santa Clarita,Los Angeles,91355,Low,91.52,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,1.25,0.45,4.67,-0.01,0.21,0.79,0.02,0.04,0.05,0.79,153380261,32849035,99789532,222226584,0.02,135790992,108200415,130036664,133269562,135790992,104318639,98816867,102915745,46706496,0,153249106,195038863,4662191,7907899.01,10308773,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Santa Cruz,Santa Cruz,95060,Moderate,49.77,0.8295211204607084,0.7188,0.4706,260,0.06,0.5,1.79,0.05,0.87,0.76,0.07,0.13,0.19,0,14517013,8111874,104472580,208802624,-0.46,5706670,98876625,23798569,17985712,5706670,90424449,92341738,98815751,170132291,11100000,513943222,673789965,15571981,26101652.61,39367936,0.375,0.07400000000000001,42.6701387806019,256520,46909,11645,142699,42775,36.9,0.49894047609973247,0.0010135661936691096,FALSE,FALSE
Santa Fe Springs,Los Angeles,90670,Moderate,59.18,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.47,0.14,3.45,0.01,1.53,0.64,0.1,0.18,0.62,0.22,25335486,7340525,11268824,79756916,0.14,28540702,60232137,22156702,25722711,28540702,55391751,54699512,56567628,120046285,2318000,217293747,336985004,7916343,14620738.51,49612000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Santa Maria,Santa Barbara,93454,Moderate,68.59,0.7376324610238962,0.637,0.5216,318,0.51,0.51,5.5,0.01,0.68,0.72,0.06,0.11,0.1,0,35560482,6468348,94280421,185467846,0,36576275,72017506,36545832,36448840,36576275,66098383,65735516,67357758,125674822,0,318712128,445163214,11011982,19656044.01,17782798,0.315,0.055,53.012658136531854,415859,45327,13688,258059,44000,33.6,0.5019780841953786,7.646822600929642e-4,FALSE,TRUE
Santa Monica,Los Angeles,90401,Low,76.91,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.74,0.47,11.03,0.06,0.71,0.76,0.07,0.13,0.04,0.13,435586920,39498803,308699502,654155706,-0.03,325217105,438813527,347682472,328902693,325217105,362580584,376816532,403530957,466819562,0,1422253087,1869572899,48359631,83178859.71,26375591,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Santa Paula,Ventura,93061,Moderate,52.26,0.8138416978089583,0.6566,0.43520000000000003,602,0.27,3.09,1.85,0.21,0.58,0.72,0.05,0.08,0.07,0,4196441,2263854,133163069,43067464,0.98,4476597,16774743,1241854,1769841,4476597,12694722,13145623,18190147,25075293,0,62590194,87442370,2068104,3579125.49,3007490,0.312,0.063,62.91647578665919,806353,45937,8871,441320,48206,36.2,0.4967327326743737,7.465712907374313e-4,FALSE,FALSE
Santa Rosa,Sonoma,95404,Moderate,57.67,0.7457829876765855,0.6968000000000001,0.5943,453,0.38,0.94,8.97,0.04,1.04,0.72,0.08,0.15,0.16,0.32,52983000,5905000,336408000,358202000,-0.01,65049000,172129000,66185000,63445000,65049000,153878000,155551000,165729000,348805000,23197000,907329989,1257546724,27320856,53557499.28,58230000,0.321,0.057999999999999996,47.03317120807625,473091,43430,10169,276221,45078,39.9,0.49165698791844226,9.575324831797687e-4,FALSE,TRUE
Santee,San Diego,92071,Moderate,64.59,0.7251714669285065,0.6071,0.46,2328,0.3,0.27,2.38,0.03,0.69,0.74,0.03,0.11,0.07,0,17363283,7306061,15637022,58418358,0.07,13044761,43334838,11614825,14083807,13044761,40410065,42889667,42775163,40161745,0,112590869,152805202,1600968,6251105.69,3998957,0.344,0.061,59.13658277842412,3022116,44860,9670,1882625,50388,34.6,0.5019456836836856,7.703211921713131e-4,FALSE,TRUE
Saratoga,Santa Clara,95070,Low,85.65,0.7060058122206997,0.6068,0.5729,1142,0.61,0.39,4.5,0.06,0.29,0.85,0.05,0.06,NA,NA,16266560,3616125,10177618,26207178,0.13,12920735,21262700,10327441,10721130,12920735,20782594,21112412,22970108,7556748,0,42123716,49360358,1289450,1518517.43,NA,0.46,0.06,91.79353048081408,1740964,61220,12764,1164619,81944,36.2,0.5017006783629933,6.559584230345947e-4,TRUE,TRUE
Sausalito,Marin,94965,Moderate,58.55,0.8589735806570894,0.7798999999999999,0.5870000000000001,189,0.53,1.43,6.22,0.05,1.16,0.72,0.1,0.16,0.25,0.13,7676235,1233998,34761109,24240197,0.23,8339692,15875211,5546098,6883558,8339692,13581345,14061620,14726584,28115086,0,73207611,101105801,2303767,3773563.51,5999344,0.546,0.047,67.9644361065709,248398,90003,30928,181971,56427,44.5,0.4915514106073872,7.608756914306878e-4,FALSE,TRUE
Scotts Valley,Santa Cruz,95066,Moderate,54.22,0.8295211204607084,0.7188,0.4706,260,0.35,0.59,5.89,0.04,1.14,0.73,0.08,0.15,0.81,0,3163645,537123,10280343,17297544,0.2,3962916,11273170,2896849,4131884,3962916,10368170,12372915,10862485,17054661,2675000,46871383,63893949,1324761,2512942.78,14076869,0.375,0.07400000000000001,42.6701387806019,256520,46909,11645,142699,42775,36.9,0.49894047609973247,0.0010135661936691096,FALSE,FALSE
Seal Beach,Orange,90740,Low,83.24,0.8640684252298959,0.6275,0.4654,2109,0.76,0.26,11.7,0.01,0.88,0.73,0.03,0.13,0.16,0.39,25222941,2156675,11166200,42699309,-0.05,25780773,33796763,28421323,27248483,25780773,29952483,29751002,30710063,36386837,1263000,100172997,136813669,1430931,5714465.96,6866482,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Seaside,Monterey,93955,Moderate,70.78,0.6775766701887825,0.562,0.588,184,0.57,0.23,5.5,0.07,1.11,0.74,0.08,0.16,0.25,0,8817640,1603855,9533978,41516466,0.35,15403680,27242507,8886950,9269632,15403680,27451213,28592387,31210943,41931214,4290000,119105140,161245371,3297129,6747361.69,10488321,0.23199999999999998,0.085,50.36278083453606,406022,40587,9460,223750,42425,32.9,0.5142209383289524,4.53177414031752e-4,FALSE,FALSE
Sebastopol,Sonoma,95473,Low,82.38,0.7457829876765855,0.6968000000000001,0.5943,453,0.89,0.33,11.69,0.17,0.81,0.72,0.08,0.11,0.19,0,6847772,585777,5051340,15442415,0.34,7402742,8358465,4280624,6639067,7402742,6780224,9016595,9141223,12460116,0,31288176,43560092,1187535,1771840.26,2936402,0.321,0.057999999999999996,47.03317120807625,473091,43430,10169,276221,45078,39.9,0.49165698791844226,9.575324831797687e-4,FALSE,TRUE
Selma,Fresno,93662,Moderate,60.58,0.714652135684724,0.5144,0.4532,712,0.19,0.41,2.19,0.05,0.59,0.72,0.06,0.09,0.21,0,3612307,1649049,10297785,25421469,0.3,2763856,14419621,1664522,2463963,2763856,10865162,10943032,11786253,15039455,0,38550466,53510616,1459243,2313999.89,5244097,0.19399999999999998,0.106,37.123290788562386,909630,30549,4517,441468,37825,30.6,0.49955505400612604,7.827358376482745e-4,FALSE,FALSE
Shafter,Kern,93263,Low,91.63,0.6575433079519254,0.4984,0.41200000000000003,588,1.38,0.05,19.5,0.02,0.07,1.06,0.02,0.02,0.01,0,52105723,2672053,2478737,54872902,-0.05,53793750,39087889,60352005,63860207,53793750,28033854,26625522,28668345,3825145,0,54200790,51339456,1152482,1276955.52,638930,0.149,0.099,52.20654335003,818327,29257,3963,364533,41733,30.7,0.5158313592518619,7.185391658835648e-4,TRUE,FALSE
Shasta Lake,Shasta,96019,Low,71.91,0.735475342080671,0.6183,0.5178,150,0.22,0.25,2.22,0.08,0.19,0.78,0.01,0.03,0.04,0.82,5373337,2424038,10038119,40615313,-0.19,2857906,13110926,4994314,5514326,2857906,6755279,7252335,7878927,7588576,0,26410362,33826598,414691,1298216.11,1454704,0.193,0.10099999999999999,36.57339757513526,177247,32788,5850,90773,37062,41.8,0.49164047555904145,8.462766647672457e-4,FALSE,FALSE
Sierra Madre,Los Angeles,91024,Low,87.96,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.81,0.4,14.61,0.14,0.67,0.73,0.07,0.08,0.01,0.85,8551218,585147,8355325,20757509,0.15,8736391,10729616,6658475,7428117,8736391,9440944,11108537,12053691,13878779,0,36394924,49965299,1418218,1602871.44,281522,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Signal Hill,Los Angeles,90806,Low,78.25,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,1.24,0.44,6.54,-0.03,0.89,0.74,0.09,0.13,0.28,0.18,20653763,3156095,14168467,31863769,-0.01,25712812,20771720,26386745,23482117,25712812,23098757,20541345,21842728,28446490,0,79393219,107164385,2773534,4124901.03,8952079,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Simi Valley,Ventura,93063,Moderate,63.57,0.8138416978089583,0.6566,0.43520000000000003,602,0.41,0.39,5.15,0.03,0.96,0.7,0.07,0.13,0.25,0.09,20631738,4005378,60698036,154796154,0,27985482,68620398,27978723,27820122,27985482,61476812,60961538,65302859,148061674,0,336208560,482469907,11328053,20222513.88,38512890,0.312,0.063,62.91647578665919,806353,45937,8871,441320,48206,36.2,0.4967327326743737,7.465712907374313e-4,FALSE,FALSE
Solana Beach,San Diego,92075,Low,80.54,0.7251714669285065,0.6071,0.46,2328,0.83,0.94,4.18,0.03,0.48,0.73,0.04,0.08,0.15,0.07,18118051,4330506,27716768,29445247,0.07,14206980,17180777,12508924,13410428,14206980,17395850,18038489,18431516,14011833,0,38888275,52950062,1178475,2314689.74,4454874,0.344,0.061,59.13658277842412,3022116,44860,9670,1882625,50388,34.6,0.5019456836836856,7.703211921713131e-4,FALSE,TRUE
Soledad,Monterey,93960,Moderate,67.28,0.6775766701887825,0.562,0.588,184,0.31,1.57,2.23,0.13,0.19,0.8,0.02,0.04,NA,NA,3219997,1441399,36951018,23535737,0.65,2358673,7508461,877842,1574767,2358673,6566121,7651373,8292367,4556204,0,18018414,22492577,546285,1048205.97,NA,0.23199999999999998,0.085,50.36278083453606,406022,40587,9460,223750,42425,32.9,0.5142209383289524,4.53177414031752e-4,TRUE,FALSE
Solvang,Santa Barbara,93463,Low,91.28,0.7376324610238962,0.637,0.5216,318,1.36,0.01,26.17,0.04,0.23,0.77,0.02,0.04,0.12,0.22,10305055,393808,258779,17315205,0.07,10767808,7899646,9472956,9952252,10767808,7907655,8488871,8589729,4006588,0,12993759,16931210,279932,724074.67,2073236,0.315,0.055,53.012658136531854,415859,45327,13688,258059,44000,33.6,0.5019780841953786,7.646822600929642e-4,FALSE,TRUE
Sonoma,Sonoma,95476,Low,79.04,0.7457829876765855,0.6968000000000001,0.5943,453,0.52,0.08,4.43,0.03,0.63,0.73,0.04,0.08,NA,NA,8572536,1937222,2018903,24654485,0.04,9144462,17742660,8499268,8375950,9144462,16862639,17069733,17958907,14473020,1140000,39889322,54341626,915749,1908297.02,NA,0.321,0.057999999999999996,47.03317120807625,473091,43430,10169,276221,45078,39.9,0.49165698791844226,9.575324831797687e-4,FALSE,TRUE
Sonora,Tuolumne,95370,Moderate,55.78,0.8769094416349512,0.7168000000000001,0.5159,68,0.3,0.07,4.64,0.02,1.2,0.71,0.18,0.15,0.07,0,1311863,282490,631016,9087329,0.1,1409273,4750064,1227908,1086915,1409273,4868313,5004809,5010304,10864152,0,25809012,36430100,1643609,1404960.19,621229,0.174,0.08,37.56651278409091,56320,32626,7962,26710,37401,47.3,0.5282218007766639,0.0012073863636363636,FALSE,FALSE
South El Monte,Los Angeles,91733,Moderate,68.81,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.31,0.15,3.7,0.02,0.44,0.74,0.03,0.06,0.09,0,4237194,1144730,2592842,17575263,0.06,4331914,14124134,3896625,4340398,4331914,13581001,14300675,14078675,7727031,0,21367001,28968274,572837,1086926.83,1576627,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
South Gate,Los Angeles,90280,Moderate,70.09,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.6,0.57,8.05,0.06,0.98,0.74,0.03,0.12,0.29,0,25719588,3195133,59720194,103937512,0.02,34935093,58416700,34142231,37996353,34935093,48902088,47261026,53909480,86756234,15245000,246571469,334627101,3114552,12837860.36,30256302,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
South Lake Tahoe,El Dorado,96150,Moderate,66.27,0.869937250427838,0.7337,0.5472,150,0.55,0.9,6.13,0.03,1.28,0.69,0.08,0.15,NA,NA,24695057,4030283,57800759,64468206,0.09,24059023,43966455,20323858,22121167,24059023,41120701,42449350,43295026,71610615,11030000,163083270,234694717,5450673,9828905.62,NA,0.313,0.07,34.68516885291655,179150,48380,8844,84628,41433,43.6,0.5002319698660098,8.372871895060006e-4,FALSE,FALSE
South Pasadena,Los Angeles,91030,Moderate,64.49,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.67,1.25,7.57,0,0.83,0.74,0.07,0.13,0.38,0,17017102,2249277,55216749,44035905,-0.03,16986538,25290746,18359205,15580661,16986538,26490056,26356183,26556549,36410081,0,103624830,140020981,3082379,5716959.68,16723404,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
South San Francisco,San Mateo,94083,Moderate,63.86,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.35,0.34,7.33,0.13,0.98,0.67,0.08,0.14,0.32,0.25,37848050,5160884,63413606,186165929,0.59,40704451,116994901,22983605,56303749,40704451,92636721,104959699,118872329,182871920,0,378350396,561049559,15488805,26869519.63,59290000,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
St. Helena,Napa,94574,Low,80.73,0.7790353151347466,0.6576000000000001,0.275,147,0.52,0.64,5.41,0.13,0.39,0.73,0.04,0.06,NA,NA,6039757,1117124,19480802,30265278,0.39,6603547,12670284,3457897,4563326,6603547,11535370,12165701,14745065,11898108,0,31144329,42665192,1304167,1813496.27,NA,0.312,0.051,60.91912329502659,134093,47613,12170,91679,46528,39.7,0.49939187010931685,0.001096254092309069,FALSE,TRUE
Stanton,Orange,90680,Low,95.11,0.8640684252298959,0.6275,0.4654,2109,0.8,0.01,26.34,0.06,0.3,0.73,0.02,0.03,-0.01,1.64,20230652,767914,293259,35858056,0.05,17918312,22498160,16495806,15716919,17918312,19442804,20308439,21914761,10655465,0,28958524,39593055,872165,902596.81,NA,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Stockton,San Joaquin,95202,Moderate,60.05,0.6505512612372483,0.5142,0.47950000000000004,515,0.33,0.89,6.03,0.04,1.14,0.72,0.04,0.15,NA,NA,79321465,13143667,437828189,494192234,-0.02,84448171,257032513,87880760,96545029,84448171,224183813,228581065,242066318,509212031,53547049,1320781608,1837471394,17887560,72423500.73,NA,0.179,0.105,35.11675291651531,671692,32080,4692,287022,40880,32.7,0.4979235553168949,7.667204611637476e-4,FALSE,FALSE
Suisun City,Solano,94585,Moderate,63.01,0.6956945732923293,0.594,0.5109,214,0.27,0.22,8.41,0.16,0.81,0.74,0.09,0.11,0.13,0,3149505,374505,4965346,22861583,0.09,3940251,14738036,3353371,3860647,3940251,10556955,10834801,13890730,18539577,0,51365729,69555637,2033442,2579972.11,2882155,0.242,0.069,45.98817522960007,408972,38030,6022,178995,46543,36.9,0.4988459975226446,5.232632062830708e-4,FALSE,FALSE
Sunnyvale,Santa Clara,94088,Low,78.52,0.7060058122206997,0.6068,0.5729,1142,0.65,0.23,10.72,0.06,0.76,0.7,0.07,0.11,0.17,0.5,130871507,12209382,113159386,482989233,0.05,124218192,190556564,112663255,118724377,124218192,152595416,155987288,169936638,365351096,0,819825869,1179315783,31769222,54826861.73,83909765,0.46,0.06,91.79353048081408,1740964,61220,12764,1164619,81944,36.2,0.5017006783629933,6.559584230345947e-4,FALSE,TRUE
Susanville,Lassen,96130,Moderate,62.64,0.8117586087757688,0.6628000000000001,0.4421,44,0.51,2.09,8.56,0.11,0.95,0.76,0.05,0.1,NA,NA,3202431,374272,34294535,16428809,0.16,3429415,6664398,2584742,3167940,3429415,5671318,5829118,6886933,11433943,4096000,37148697,48561689,865752,1694929.17,NA,0.135,0.096,31.74083643280997,35221,26828,4477,13756,40080,37.1,0.6423842957443759,0.0012492547059992619,FALSE,FALSE
Sutter Creek,Amador,95685,Low,80.9,0.8293210711387612,0.7343999999999999,0.5184000000000001,59,1.07,0.25,8.63,0,0.82,0.73,0.07,0.12,0.01,0,1055574,122339,1054523,4258109,0.29,1878848,1759078,1142441,1607459,1878848,1919670,2101772,1917989,3509068,0,9388801,12825255,288431,501057.53,48384,0.188,0.077,40.23075716377327,38248,34106,7969,19626,37570,48.2,0.5447218503058465,0.0015425643170884752,FALSE,FALSE
Taft,Kern,93268,Moderate,54.94,0.6575433079519254,0.4984,0.41200000000000003,588,0.05,0.14,0,0.05,0.35,0.76,0.03,0.07,NA,NA,0,977981,3887481,28053217,-0.56,501494,10185086,2584237,1192914,501494,7200841,7681153,7875754,9771417,0,30803031,40568756,883568,1839746.01,NA,0.149,0.099,52.20654335003,818327,29257,3963,364533,41733,30.7,0.5158313592518619,7.185391658835648e-4,FALSE,FALSE
Tehachapi,Kern,93561,Low,93.49,0.6575433079519254,0.4984,0.41200000000000003,588,0.81,0.32,14.46,0.05,0.26,0.79,0.03,0.06,NA,NA,4435955,306842,5514497,17204929,0.2,5452742,6754307,3826699,4484920,5452742,6663700,6596414,7227583,4432819,0,16070566,20455367,572035,1014848.04,NA,0.149,0.099,52.20654335003,818327,29257,3963,364533,41733,30.7,0.5158313592518619,7.185391658835648e-4,FALSE,FALSE
Tehama,Tehama,96090,Low,98.63,0.727765878189607,0.5775,0.5483,47,17.72,0,NA,0.09,NA,NA,NA,NA,NA,NA,1381132,0,0,369096,0.05,1413276,79750,1274047,1330666,1413276,175134,92755,152978,NA,NA,NA,NA,NA,NA,NA,0.131,0.092,24.505219639892733,62648,26990,4736,23994,34328,39.5,0.4980854986370011,7.502234708210956e-4,NA,FALSE
